	smiles	name	stand_name
102	OC(CC1=CC(CO)=CC=C1OC)=O		B102
103	OC(CC1=C(OC)C=C(CO)C=C1)=O	3b10	B103
104	OC(CC1=CC(OC)=C(CO)C=C1)=O		B104
105	OC(CC1=C(CO)C(F)=CC=C1)=O		B105
106	OC(CC1=C(CO)C=C(F)C=C1)=O		B106
107	OC(CC1=C(CO)C=CC(F)=C1)=O		B107
108	OC(CC1=C(CO)C=CC=C1F)=O		B108
109	OC(CC1=C(F)C(CO)=CC=C1)=O		B109
110	OC(CC1=CC(CO)=C(F)C=C1)=O		B110
111	OC(CC1=CC(CO)=CC(F)=C1)=O	3b4	B111
112	OC(CC1=CC(CO)=CC=C1F)=O		B112
113	OC(CC1=C(F)C=C(CO)C=C1)=O	3b3	B113
114	OC(CC1=CC(F)=C(CO)C=C1)=O		B114
115	OC(CC1=C(CO)C(O)=CC=C1)=O		B115
116	OC(CC1=C(CO)C=C(O)C=C1)=O		B116
117	OC(CC1=C(CO)C=CC(O)=C1)=O		B117
118	OC(CC1=C(CO)C=CC=C1O)=O		B118
119	OC(CC1=C(O)C(CO)=CC=C1)=O		B119
120	OC(CC1=CC(CO)=C(O)C=C1)=O		B120
121	OC(CC1=CC(CO)=CC(O)=C1)=O	3b8	B121
122	OC(CC1=CC(CO)=CC=C1O)=O		B122
123	OC(CC1=C(O)C=C(CO)C=C1)=O	3b7	B123
124	OC(CC1=CC(O)=C(CO)C=C1)=O		B124
125	OC(C1=C(CO)C(CO)=CC=C1)=O		B125
126	OC(C1=C(CO)C=C(CO)C=C1)=O	2b11	B126
127	OC(C1=C(CO)C=CC(CO)=C1)=O		B127
128	OC(C1=C(CO)C=CC=C1CO)=O		B128
129	OC(C1=CC(CO)=C(CO)C=C1)=O		B129
130	OC(C1=CC(CO)=CC(CO)=C1)=O	2b12	B130
131	OC(C1=C(CO)C(C)=CC=C1)=O		B131
132	OC(C1=C(CO)C=C(C)C=C1)=O		B132
133	OC(C1=C(CO)C=CC(C)=C1)=O		B133
134	OC(C1=C(CO)C=CC=C1C)=O		B134
135	OC(C1=C(C)C(CO)=CC=C1)=O		B135
136	OC(C1=CC(CO)=C(C)C=C1)=O		B136
137	OC(C1=CC(CO)=CC(C)=C1)=O	2b6	B137
138	OC(C1=CC(CO)=CC=C1C)=O		B138
139	OC(C1=C(C)C=C(CO)C=C1)=O	2b5	B139
140	OC(C1=CC(C)=C(CO)C=C1)=O		B140
141	OC(C1=C(CO)C(OC)=CC=C1)=O		B141
142	OC(C1=C(CO)C=C(OC)C=C1)=O		B142
143	OC(C1=C(CO)C=CC(OC)=C1)=O		B143
144	OC(C1=C(CO)C=CC=C1OC)=O		B144
145	OC(C1=C(OC)C(CO)=CC=C1)=O		B145
146	OC(C1=CC(CO)=C(OC)C=C1)=O		B146
147	OC(C1=CC(CO)=CC(OC)=C1)=O	2b9	B147
148	OC(C1=CC(CO)=CC=C1OC)=O		B148
149	OC(C1=C(OC)C=C(CO)C=C1)=O	2b10	B149
150	OC(C1=CC(OC)=C(CO)C=C1)=O		B150
151	OC(C1=C(CO)C(F)=CC=C1)=O		B151
152	OC(C1=C(CO)C=C(F)C=C1)=O		B152
153	OC(C1=C(CO)C=CC(F)=C1)=O		B153
154	OC(C1=C(CO)C=CC=C1F)=O		B154
155	OC(C1=C(F)C(CO)=CC=C1)=O		B155
156	OC(C1=CC(CO)=C(F)C=C1)=O		B156
157	OC(C1=CC(CO)=CC(F)=C1)=O	2b4	B157
158	OC(C1=CC(CO)=CC=C1F)=O		B158
159	OC(C1=C(F)C=C(CO)C=C1)=O	2b3	B159
160	OC(C1=CC(F)=C(CO)C=C1)=O		B160
161	OC(C1=C(CO)C(O)=CC=C1)=O		B161
162	OC(C1=C(CO)C=C(O)C=C1)=O		B162
163	OC(C1=C(CO)C=CC(O)=C1)=O		B163
164	OC(C1=C(CO)C=CC=C1O)=O		B164
165	OC(C1=C(O)C(CO)=CC=C1)=O		B165
166	OC(C1=CC(CO)=C(O)C=C1)=O		B166
167	OC(C1=CC(CO)=CC(O)=C1)=O	2b8	B167
168	OC(C1=CC(CO)=CC=C1O)=O		B168
169	OC(C1=C(O)C=C(CO)C=C1)=O	2b7	B169
170	OC(C1=CC(O)=C(CO)C=C1)=O		B170
171	O=C(O)C1=C(CO)N=C(CO)C=C1		B171
172	O=C(O)C1=C(CO)N=CC(CO)=C1		B172
173	O=C(O)C1=C(CO)N=CC=C1(CO)		B173
174	O=C(O)C1=CN=C(CO)C(CO)=C1		B174
175	O=C(O)C1=CN=C(CO)C=C1(CO)		B175
176	O=C(O)C1=CN=CC(CO)=C1(CO)		B176
177	O=C(O)C1=C(CO)N=C(C)C=C1		B177
178	O=C(O)C1=C(CO)N=CC(C)=C1		B178
179	O=C(O)C1=C(CO)N=CC=C1(C)		B179
180	O=C(O)C1=C(C)N=C(CO)C=C1		B180
